Comparison,Pearson_r,Pearson_p,Spearman_r,Spearman_p,N
Standard vs Actual,0.23919581192792455,7.137296132932401e-124,0.22829099357228724,1.0259449558035512e-112,9513
Human-Style vs Actual,0.24158362744267659,2.1519888183983213e-126,0.22939228822323993,8.13800342224249e-114,9513
Average vs Actual,0.2509524545781557,1.4810522897967733e-136,0.23908689283520518,9.286375179477855e-124,9513
